Phase,Step,Area,Component,Plan,Dependency,Status
6,28,Secrets,Key Vault,Store database OIDC registry and application secrets in Key Vault or approved secret integration,Azure identity,Not started
7,29,Load balancing,Azure Load Balancer,Provision one public Azure Load Balancer as the only public entry point,AKS cluster,Not started
7,30,API gateway,NGINX Ingress,Install NGINX Ingress Controller behind the Azure Load Balancer,AKS cluster,Not started
7,31,Internal networking,Kubernetes Services,Expose frontend Catalog API and Order API as internal ClusterIP Services,Deployments,Not started
7,32,DNS,DNS provider,Point shop.example.com to the Azure public IP or approved DNS name,Public endpoint,Not started
7,33,TLS,NGINX,Configure HTTPS certificates HTTP-to-HTTPS redirect and certificate renewal,Domain and certificate,Not started
7,34,Routing,NGINX,Route / to frontend /api/catalog to Catalog API and /api/orders to Order API,Internal Services,Not started
7,35,Gateway controls,NGINX,Configure request limits body-size limits timeouts security headers rate limits and logs,Routing,Not started
7,36,SPA routing,NGINX,Configure React history fallback for frontend routes while preserving /api routes,Frontend build,Not started
8,37,Kubernetes workload,Frontend Deployment,Deploy frontend image with replicas probes resources and topology settings,ACR image,Not started
8,38,Kubernetes workload,Catalog Deployment,Deploy Catalog API with at least two replicas probes resources and topology settings,ACR image and database,Not started
8,39,Kubernetes workload,Order Deployment,Deploy Order API with at least two replicas probes resources and topology settings,ACR image and database,Not started
8,40,Availability,All workloads,Add PodDisruptionBudgets and graceful shutdown for replicated services,Multiple replicas,Not started
8,41,Security,AKS,Apply NetworkPolicies so only approved traffic reaches APIs and database,Network design,Not started
9,42,Autoscaling,Catalog API,Configure HPA using CPU or memory first and request metrics later if available,Catalog resource requests,Not started
9,43,Autoscaling,Order API,Configure HPA using CPU or memory while respecting database capacity,Order resource requests,Not started
9,44,Autoscaling,Frontend,Configure frontend HPA if traffic requires more than the baseline replicas,Traffic measurements,Not started
9,45,Node scaling,AKS Cluster Autoscaler,Configure node-pool minimum and maximum sizes and scale nodes when pods cannot be scheduled,Resource requests,Not started
9,46,Scaling validation,AKS,Load test catalog reads and order creation and verify pods and nodes scale correctly,HPA and autoscaler,Not started
10,47,Observability,AKS and NGINX,Collect logs metrics traces request latency errors pod restarts node health and routing errors,Monitoring platform,Not started
10,48,Application monitoring,Catalog and Order APIs,Monitor API success rate latency database connections and order completion,Service metrics,Not started
10,49,Alerts,Operations,Create alerts for failed probes high errors high latency pending pods and database issues,Monitoring data,Not started
10,50,Recovery,Managed database,Perform backup restore and failover tests in staging,Database configuration,Not started
11,51,CI,GitHub Actions,Install locked dependencies run lint tests and build the frontend and both APIs,Repository and tests,Not started
11,52,Security scanning,CI pipeline,Scan dependencies containers and infrastructure configuration,Container images,Not started
11,53,Quality,SonarQube,Run SonarQube analysis and enforce the corporate quality gate,SonarQube access,Not started
11,54,Publish,Azure Container Registry,Push tested images using immutable commit SHA tags,CI success,Not started
11,55,CD,AKS,Deploy to development then staging and promote production with approval,ACR images,Not started
11,56,Release safety,AKS,Use rolling updates and verify readiness before routing production traffic,Health probes,Not started
11,57,Rollback,AKS,Test restoring the previous image and define database migration rollback rules,Release process,Not started
12,58,Functional verification,Complete application,Verify browser catalog browsing cart and order flow through NGINX,All services deployed,Not started
12,59,Network verification,Load balancer and gateway,Verify only Azure Load Balancer and NGINX are public and backend services are private,Network policies,Not started
12,60,Failure verification,AKS,Delete API pods and verify Kubernetes replaces them and NGINX routes only to ready replicas,Probes and replicas,Not started
12,61,Scale verification,AKS,Hammer the APIs and verify HPA and Cluster Autoscaler behavior without lost requests,Load test,Not started
12,62,Security verification,Complete platform,Verify TLS authentication authorization secret handling RBAC network rules and image scans,Security controls,Not started
12,63,Production readiness,Complete platform,Approve SLOs backups alerts runbooks cost limits rollback and support ownership,All verification complete,Not started
